tourney_id,court,surface,round,best_of,player0,player1,winner
2000005,Outdoor,Hard,7,3,40,29,0
2000005,Outdoor,Hard,7,3,17,88,0
2000005,Outdoor,Hard,7,3,7,31,0
2000005,Outdoor,Hard,7,3,79,24,0
2000005,Outdoor,Hard,7,3,8,33,0
2000005,Outdoor,Hard,7,3,94,84,0
2000005,Outdoor,Hard,7,3,41,127,0
2000005,Outdoor,Hard,7,3,102,20,0
2000005,Outdoor,Hard,6,3,28,42,0
2000005,Outdoor,Hard,6,3,69,47,0
2000005,Outdoor,Hard,6,3,21,39,0
2000005,Outdoor,Hard,6,3,17,55,0
2000005,Outdoor,Hard,6,3,7,40,0
2000005,Outdoor,Hard,6,3,79,8,0
2000005,Outdoor,Hard,6,3,94,23,0
2000005,Outdoor,Hard,6,3,102,41,0
2000005,Outdoor,Hard,3,3,28,69,0
2000005,Outdoor,Hard,3,3,21,102,0
2000005,Outdoor,Hard,3,3,79,17,0
2000005,Outdoor,Hard,3,3,94,7,0
2000005,Outdoor,Hard,2,3,21,28,0
2000005,Outdoor,Hard,2,3,94,79,0
2000005,Outdoor,Hard,1,3,21,94,0
2000006,Outdoor,Hard,7,5,1,112,0
2000006,Outdoor,Hard,7,5,35,107,0
2000006,Outdoor,Hard,7,5,41,111,0
2000006,Outdoor,Hard,7,5,106,28,0
2000006,Outdoor,Hard,7,5,76,81,0
2000006,Outdoor,Hard,7,5,151,57,0
2000006,Outdoor,Hard,7,5,39,22,0
2000006,Outdoor,Hard,7,5,54,66,0
2000006,Outdoor,Hard,7,5,30,51,0
2000006,Outdoor,Hard,7,5,64,155,0
2000006,Outdoor,Hard,7,5,98,119,0
2000006,Outdoor,Hard,7,5,29,257,0
2000006,Outdoor,Hard,7,5,34,36,0
2000006,Outdoor,Hard,7,5,62,38,0
2000006,Outdoor,Hard,7,5,53,78,0
2000006,Outdoor,Hard,7,5,40,200,0
2000006,Outdoor,Hard,7,5,80,6,0
2000006,Outdoor,Hard,7,5,26,148,0
2000006,Outdoor,Hard,7,5,12,171,0
2000006,Outdoor,Hard,7,5,13,31,0
2000006,Outdoor,Hard,7,5,17,87,0
2000006,Outdoor,Hard,7,5,238,139,0
2000006,Outdoor,Hard,7,5,46,65,0
2000006,Outdoor,Hard,7,5,70,15,0
2000006,Outdoor,Hard,7,5,42,121,0
2000006,Outdoor,Hard,7,5,123,84,0
2000006,Outdoor,Hard,7,5,2,85,0
2000006,Outdoor,Hard,7,5,4,74,0
2000006,Outdoor,Hard,7,5,43,217,0
2000006,Outdoor,Hard,7,5,10,25,0
2000006,Outdoor,Hard,7,5,104,117,0
2000006,Outdoor,Hard,7,5,7,32,0
2000006,Outdoor,Hard,7,5,263,61,0
2000006,Outdoor,Hard,7,5,9,71,0
2000006,Outdoor,Hard,7,5,67,94,0
2000006,Outdoor,Hard,7,5,11,97,0
2000006,Outdoor,Hard,7,5,37,75,0
2000006,Outdoor,Hard,7,5,137,201,0
2000006,Outdoor,Hard,7,5,19,189,0
2000006,Outdoor,Hard,7,5,91,5,0
2000006,Outdoor,Hard,7,5,82,118,0
2000006,Outdoor,Hard,7,5,115,162,0
2000006,Outdoor,Hard,7,5,120,20,0
2000006,Outdoor,Hard,7,5,45,143,0
2000006,Outdoor,Hard,7,5,3,105,0
2000006,Outdoor,Hard,7,5,47,77,0
2000006,Outdoor,Hard,7,5,60,73,0
2000006,Outdoor,Hard,7,5,133,72,0
2000006,Outdoor,Hard,7,5,166,88,0
2000006,Outdoor,Hard,7,5,48,356,0
2000006,Outdoor,Hard,7,5,102,18,0
2000006,Outdoor,Hard,7,5,472,23,0
2000006,Outdoor,Hard,7,5,89,52,0
2000006,Outdoor,Hard,7,5,79,103,0
2000006,Outdoor,Hard,7,5,182,122,0
2000006,Outdoor,Hard,7,5,44,109,0
2000006,Outdoor,Hard,7,5,153,114,0
2000006,Outdoor,Hard,7,5,55,59,0
2000006,Outdoor,Hard,7,5,99,63,0
2000006,Outdoor,Hard,7,5,95,21,0
2000006,Outdoor,Hard,7,5,204,93,0
2000006,Outdoor,Hard,7,5,126,113,0
2000006,Outdoor,Hard,7,5,56,92,0
2000006,Outdoor,Hard,7,5,33,27,0
2000006,Outdoor,Hard,6,5,1,47,0
2000006,Outdoor,Hard,6,5,35,263,0
2000006,Outdoor,Hard,6,5,41,123,0
2000006,Outdoor,Hard,6,5,76,153,0
2000006,Outdoor,Hard,6,5,151,45,0
2000006,Outdoor,Hard,6,5,39,70,0
2000006,Outdoor,Hard,6,5,54,7,0
2000006,Outdoor,Hard,6,5,64,102,0
2000006,Outdoor,Hard,6,5,29,12,0
2000006,Outdoor,Hard,6,5,34,10,0
2000006,Outdoor,Hard,6,5,62,104,0
2000006,Outdoor,Hard,6,5,53,42,0
2000006,Outdoor,Hard,6,5,40,89,0
2000006,Outdoor,Hard,6,5,80,115,0
2000006,Outdoor,Hard,6,5,26,238,0
2000006,Outdoor,Hard,6,5,13,60,0
2000006,Outdoor,Hard,6,5,17,30,0
2000006,Outdoor,Hard,6,5,46,37,0
2000006,Outdoor,Hard,6,5,2,44,0
2000006,Outdoor,Hard,6,5,4,106,0
2000006,Outdoor,Hard,6,5,43,472,0
2000006,Outdoor,Hard,6,5,67,98,0
2000006,Outdoor,Hard,6,5,11,82,0
2000006,Outdoor,Hard,6,5,19,166,0
2000006,Outdoor,Hard,6,5,120,182,0
2000006,Outdoor,Hard,6,5,3,79,0
2000006,Outdoor,Hard,6,5,48,126,0
2000006,Outdoor,Hard,6,5,55,9,0
2000006,Outdoor,Hard,6,5,99,137,0
2000006,Outdoor,Hard,6,5,95,91,0
2000006,Outdoor,Hard,6,5,56,133,0
2000006,Outdoor,Hard,6,5,33,204,0
2000006,Outdoor,Hard,5,5,1,33,0
2000006,Outdoor,Hard,5,5,41,55,0
2000006,Outdoor,Hard,5,5,54,62,0
2000006,Outdoor,Hard,5,5,64,48,0
2000006,Outdoor,Hard,5,5,29,40,0
2000006,Outdoor,Hard,5,5,34,99,0
2000006,Outdoor,Hard,5,5,53,39,0
2000006,Outdoor,Hard,5,5,13,26,0
2000006,Outdoor,Hard,5,5,17,95,0
2000006,Outdoor,Hard,5,5,2,43,0
2000006,Outdoor,Hard,5,5,4,35,0
2000006,Outdoor,Hard,5,5,11,76,0
2000006,Outdoor,Hard,5,5,19,46,0
2000006,Outdoor,Hard,5,5,120,67,0
2000006,Outdoor,Hard,5,5,3,151,0
2000006,Outdoor,Hard,5,5,56,80,0
2000006,Outdoor,Hard,4,5,1,19,0
2000006,Outdoor,Hard,4,5,41,34,0
2000006,Outdoor,Hard,4,5,29,54,0
2000006,Outdoor,Hard,4,5,2,120,0
2000006,Outdoor,Hard,4,5,4,53,0
2000006,Outdoor,Hard,4,5,11,17,0
2000006,Outdoor,Hard,4,5,3,64,0
2000006,Outdoor,Hard,4,5,56,13,0
2000006,Outdoor,Hard,3,5,1,41,0
2000006,Outdoor,Hard,3,5,2,29,0
2000006,Outdoor,Hard,3,5,11,4,0
2000006,Outdoor,Hard,3,5,3,56,0
2000006,Outdoor,Hard,2,5,1,3,0
2000006,Outdoor,Hard,2,5,2,11,0
2000006,Outdoor,Hard,1,5,1,2,0
2000007,Outdoor,Hard,7,3,34,6,0
2000007,Outdoor,Hard,7,3,27,57,0
2000007,Outdoor,Hard,7,3,153,45,0
2000007,Outdoor,Hard,7,3,78,49,0
2000007,Outdoor,Hard,7,3,18,59,0
2000007,Outdoor,Hard,7,3,21,50,0
2000007,Outdoor,Hard,7,3,39,108,0
2000007,Outdoor,Hard,7,3,33,37,0
2000007,Outdoor,Hard,7,3,4,160,0
2000007,Outdoor,Hard,7,3,40,72,0
2000007,Outdoor,Hard,7,3,9,173,0
2000007,Outdoor,Hard,7,3,25,70,0
2000007,Outdoor,Hard,7,3,52,76,0
2000007,Outdoor,Hard,7,3,43,141,0
2000007,Outdoor,Hard,7,3,61,68,0
2000007,Outdoor,Hard,7,3,47,140,0
2000007,Outdoor,Hard,6,3,34,47,0
2000007,Outdoor,Hard,6,3,18,40,0
2000007,Outdoor,Hard,6,3,21,78,0
2000007,Outdoor,Hard,6,3,39,9,0
2000007,Outdoor,Hard,6,3,33,61,0
2000007,Outdoor,Hard,6,3,4,52,0
2000007,Outdoor,Hard,6,3,25,153,0
2000007,Outdoor,Hard,6,3,43,27,0
2000007,Outdoor,Hard,3,3,34,43,0
2000007,Outdoor,Hard,3,3,18,21,0
