tourney_id,court,surface,round,best_of,player0,player1,winner
2009049,Outdoor,Hard,7,5,202,50,1
2009049,Outdoor,Hard,7,5,182,65,1
2009049,Outdoor,Hard,7,5,92,161,1
2009049,Outdoor,Hard,7,5,222,8,1
2009049,Outdoor,Hard,7,5,48,12,1
2009049,Outdoor,Hard,7,5,29,55,1
2009049,Outdoor,Hard,7,5,72,231,1
2009049,Outdoor,Hard,7,5,185,15,1
2009049,Outdoor,Hard,7,5,1370,1,1
2009049,Outdoor,Hard,7,5,106,162,1
2009049,Outdoor,Hard,7,5,160,21,1
2009049,Outdoor,Hard,7,5,52,77,1
2009049,Outdoor,Hard,7,5,42,90,1
2009049,Outdoor,Hard,7,5,115,23,1
2009049,Outdoor,Hard,7,5,107,32,1
2009049,Outdoor,Hard,7,5,49,24,1
2009049,Outdoor,Hard,7,5,36,81,1
2009049,Outdoor,Hard,7,5,83,137,1
2009049,Outdoor,Hard,7,5,56,59,1
2009049,Outdoor,Hard,7,5,67,16,1
2009049,Outdoor,Hard,7,5,84,5,1
2009049,Outdoor,Hard,7,5,920,7,1
2009049,Outdoor,Hard,7,5,30,276,1
2009049,Outdoor,Hard,7,5,94,79,1
2009049,Outdoor,Hard,7,5,73,54,1
2009049,Outdoor,Hard,7,5,117,43,1
2009049,Outdoor,Hard,7,5,45,10,1
2009049,Outdoor,Hard,7,5,120,76,1
2009049,Outdoor,Hard,7,5,78,31,1
2009049,Outdoor,Hard,7,5,86,18,1
2009049,Outdoor,Hard,7,5,121,108,1
2009049,Outdoor,Hard,7,5,141,17,1
2009049,Outdoor,Hard,7,5,114,103,1
2009049,Outdoor,Hard,7,5,64,61,1
2009049,Outdoor,Hard,7,5,89,11,1
2009049,Outdoor,Hard,7,5,51,4,1
2009049,Outdoor,Hard,7,5,74,135,1
2009049,Outdoor,Hard,7,5,96,87,1
2009049,Outdoor,Hard,7,5,20,163,1
2009049,Outdoor,Hard,7,5,35,100,1
2009049,Outdoor,Hard,7,5,188,155,1
2009049,Outdoor,Hard,7,5,253,22,1
2009049,Outdoor,Hard,7,5,37,196,1
2009049,Outdoor,Hard,7,5,28,119,1
2009049,Outdoor,Hard,7,5,95,2,1
2009049,Outdoor,Hard,7,5,34,13,1
2009049,Outdoor,Hard,7,5,80,40,1
2009049,Outdoor,Hard,7,5,58,38,1
2009049,Outdoor,Hard,7,5,116,129,1
2009049,Outdoor,Hard,7,5,44,25,1
2009049,Outdoor,Hard,7,5,102,68,1
2009049,Outdoor,Hard,7,5,97,33,1
2009049,Outdoor,Hard,7,5,71,69,1
2009049,Outdoor,Hard,7,5,109,62,1
2009049,Outdoor,Hard,7,5,46,3,1
2009049,Outdoor,Hard,7,5,57,47,1
2009049,Outdoor,Hard,7,5,728,75,1
2009049,Outdoor,Hard,7,5,132,39,1
