tournament,court,surface,round_imp,best_of,player0,player1,rank0,rank1,winner
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Hrbaty D.","Davydenko N.",56,79,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Koubek S.","Bryan B.",39,195,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Labadze I.","Pless K.",89,70,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Lapentti N.","Kucera K.",31,73,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Melzer J.","Sargsian S.",138,69,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Montanes A.","Knowle J.",58,94,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Rochus O.","Russell M.",66,105,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Sanchez D.","Spadea V.",65,88,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Saretta F.","Delgado R.",85,84,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Savolt A.","Srichaphan P.",68,67,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,7,3,"Vicente F.","Portas A.",71,76,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Hipfl M.","Koubek S.",72,39,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Lapentti N.","Labadze I.",31,89,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Melzer J.","Gaudenzi A.",138,54,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Montanes A.","Savolt A.",58,68,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Rochus O.","Gambill J.M.",66,53,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Sanchez D.","Hrbaty D.",65,56,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Saretta F.","Dupuis A.",85,82,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,6,3,"Vicente F.","Boutter J.",71,46,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,3,3,"Lapentti N.","Melzer J.",31,138,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,3,3,"Rochus O.","Sanchez D.",66,65,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,3,3,"Saretta F.","Hipfl M.",85,72,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,3,3,"Vicente F.","Montanes A.",71,58,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,2,3,"Lapentti N.","Rochus O.",31,66,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,2,3,"Vicente F.","Saretta F.",71,85,0
"Internationaler Raiffeisen Grand Prix",Outdoor,Clay,1,3,"Lapentti N.","Vicente F.",31,71,0
"French Open",Outdoor,Clay,7,5,"Agassi A.","Prodon E.",4,274,0
"French Open",Outdoor,Clay,7,5,"Arazi H.","Federer R.",45,8,0
"French Open",Outdoor,Clay,7,5,"Arthurs W.","Roddick A.",91,14,0
"French Open",Outdoor,Clay,7,5,"Blake J.","Burgsmuller L.",37,81,0
"French Open",Outdoor,Clay,7,5,"Brasington J.","Luzzi F.",148,172,0
"French Open",Outdoor,Clay,7,5,"Calatrava A.","Kiefer N.",133,65,0
"French Open",Outdoor,Clay,7,5,"Canas G.","Kucera K.",17,74,0
"French Open",Outdoor,Clay,7,5,"Clement A.","Benneteau J.",47,197,0
"French Open",Outdoor,Clay,7,5,"Coria G.","Sargsian S.",147,70,0
"French Open",Outdoor,Clay,7,5,"Corretja A.","Ulihrach B.",20,40,0
"French Open",Outdoor,Clay,7,5,"Costa A.","Gasquet R.",22,294,0
"French Open",Outdoor,Clay,7,5,"Coutelot N.","Koubek S.",87,39,0
"French Open",Outdoor,Clay,7,5,"Davydenko N.","Galimberti G.",79,179,0
"French Open",Outdoor,Clay,7,5,"de Chaunac S.","Chang M.",173,93,0
"French Open",Outdoor,Clay,7,5,"di Pasquale A.","Russell M.",283,102,0
"French Open",Outdoor,Clay,7,5,"El Aynaoui Y.","Gambill J.M.",18,53,0
"French Open",Outdoor,Clay,7,5,"Enqvist T.","Massa E.",21,112,0
"French Open",Outdoor,Clay,7,5,"Ferrero J.C.","Lisnard J.",11,135,0
"French Open",Outdoor,Clay,7,5,"Gaudenzi A.","Sampras P.",69,12,0
"French Open",Outdoor,Clay,7,5,"Gaudio G.","Balcells J.",34,117,0
"French Open",Outdoor,Clay,7,5,"Gonzalez F.","Draper S.",41,250,0
"French Open",Outdoor,Clay,7,5,"Grosjean S.","Clavet F.",10,77,0
"French Open",Outdoor,Clay,7,5,"Haas T.","Tabara M.",3,167,0
"French Open",Outdoor,Clay,7,5,"Hadad A.","Rochus C.",233,78,0
"French Open",Outdoor,Clay,7,5,"Henman T.","Blanco G.",6,89,0
"French Open",Outdoor,Clay,7,5,"Hewitt L.","Sa A.",1,83,0
"French Open",Outdoor,Clay,7,5,"Johansson T.","Squillari F.",9,75,0
"French Open",Outdoor,Clay,7,5,"Kafelnikov Y.","Behrend T.",5,157,0
"French Open",Outdoor,Clay,7,5,"Knippschild J.","Lee H.T.",277,120,0
"French Open",Outdoor,Clay,7,5,"Kratochvil M.","Hrbaty D.",49,56,0
"French Open",Outdoor,Clay,7,5,"Kuerten G.","Heuberger I.",7,116,0
"French Open",Outdoor,Clay,7,5,"Labadze I.","Boutter J.",86,46,0
"French Open",Outdoor,Clay,7,5,"Lopez F.","Perez D.",111,184,0
"French Open",Outdoor,Clay,7,5,"Malisse X.","Popp A.",38,131,0
"French Open",Outdoor,Clay,7,5,"Mamiit C.","Mirnyi M.",95,30,0
"French Open",Outdoor,Clay,7,5,"Martin A.","Ginepri R.",58,134,0
"French Open",Outdoor,Clay,7,5,"Martin T.","Vassallo-Arguello M.",42,140,0
"French Open",Outdoor,Clay,7,5,"Mathieu P.H.","Ferreira W.",107,43,0
"French Open",Outdoor,Clay,7,5,"Meligeni F.","Escude N.",55,31,0
"French Open",Outdoor,Clay,7,5,"Montanes A.","Dupuis A.",54,80,0
"French Open",Outdoor,Clay,7,5,"Moya C.","Delgado R.",19,84,0
"French Open",Outdoor,Clay,7,5,"Nalbandian D.","Calleri A.",32,51,0
"French Open",Outdoor,Clay,7,5,"Nieminen J.","Lapentti N.",44,25,0
"French Open",Outdoor,Clay,7,5,"Novak J.","Youzhny M.",15,66,0
"French Open",Outdoor,Clay,7,5,"Ogorodov O.","Hipfl M.",144,90,0
"French Open",Outdoor,Clay,7,5,"Pavel A.","Lee M.",28,97,0
"French Open",Outdoor,Clay,7,5,"Philippoussis M.","Varlet J.",130,229,0
"French Open",Outdoor,Clay,7,5,"Portas A.","Ilie A.",76,178,0
"French Open",Outdoor,Clay,7,5,"Puerta M.","Pless K.",199,71,0
"French Open",Outdoor,Clay,7,5,"Robredo T.","Levy H.",29,160,0
"French Open",Outdoor,Clay,7,5,"Rochus O.","Savolt A.",60,68,0
"French Open",Outdoor,Clay,7,5,"Safin M.","Llodra M.",2,104,0
"French Open",Outdoor,Clay,7,5,"Sanchez D.","Acasuso J.",64,96,0
"French Open",Outdoor,Clay,7,5,"Sanguinetti D.","Knowle J.",50,94,0
"French Open",Outdoor,Clay,7,5,"Santoro F.","Norman M.",26,161,0
"French Open",Outdoor,Clay,7,5,"Saretta F.","Marach O.",72,271,0
"French Open",Outdoor,Clay,7,5,"Schalken S.","Miranda I.",33,228,0
"French Open",Outdoor,Clay,7,5,"Schuettler R.","Galvani S.",27,110,0
"French Open",Outdoor,Clay,7,5,"Spadea V.","Pioline C.",88,92,0
"French Open",Outdoor,Clay,7,5,"Srichaphan P.","Sluiter R.",67,85,0
"French Open",Outdoor,Clay,7,5,"Stoliarov A.","Bjorkman J.",109,57,0
"French Open",Outdoor,Clay,7,5,"Vicente F.","Ljubicic I.",61,35,0
"French Open",Outdoor,Clay,7,5,"Voinea A.","Chela J.I.",59,23,0
"French Open",Outdoor,Clay,7,5,"Zabaleta M.","Vacek J.",52,82,0
"French Open",Outdoor,Clay,6,5,"Agassi A.","Sanchez D.",4,64,0
"French Open",Outdoor,Clay,6,5,"Arazi H.","Puerta M.",45,199,0
"French Open",Outdoor,Clay,6,5,"Canas G.","Calatrava A.",17,133,0
"French Open",Outdoor,Clay,6,5,"Clement A.","Johansson T.",47,9,0
"French Open",Outdoor,Clay,6,5,"Coria G.","Schuettler R.",147,27,0
"French Open",Outdoor,Clay,6,5,"Corretja A.","Martin T.",20,42,0
"French Open",Outdoor,Clay,6,5,"Costa A.","Davydenko N.",22,79,0
"French Open",Outdoor,Clay,6,5,"di Pasquale A.","Arthurs W.",283,91,0
"French Open",Outdoor,Clay,6,5,"Ferrero J.C.","Coutelot N.",11,87,0
"French Open",Outdoor,Clay,6,5,"Gaudenzi A.","Brasington J.",69,148,0
"French Open",Outdoor,Clay,6,5,"Gaudio G.","Labadze I.",34,86,0
"French Open",Outdoor,Clay,6,5,"Gonzalez F.","Meligeni F.",41,55,0
"French Open",Outdoor,Clay,6,5,"Grosjean S.","Blake J.",10,37,0
"French Open",Outdoor,Clay,6,5,"Haas T.","Lopez F.",3,111,0
"French Open",Outdoor,Clay,6,5,"Hewitt L.","Stoliarov A.",1,109,0
"French Open",Outdoor,Clay,6,5,"Kuerten G.","Sanguinetti D.",7,50,0
"French Open",Outdoor,Clay,6,5,"Malisse X.","Henman T.",38,6,0
"French Open",Outdoor,Clay,6,5,"Mathieu P.H.","Santoro F.",107,26,0
"French Open",Outdoor,Clay,6,5,"Montanes A.","El Aynaoui Y.",54,18,0
"French Open",Outdoor,Clay,6,5,"Moya C.","Philippoussis M.",19,130,0
"French Open",Outdoor,Clay,6,5,"Nalbandian D.","Saretta F.",32,72,0
"French Open",Outdoor,Clay,6,5,"Nieminen J.","Hadad A.",44,233,0
"French Open",Outdoor,Clay,6,5,"Novak J.","Knippschild J.",15,277,0
"French Open",Outdoor,Clay,6,5,"Pavel A.","Kratochvil M.",28,49,0
"French Open",Outdoor,Clay,6,5,"Portas A.","Mamiit C.",76,95,0
"French Open",Outdoor,Clay,6,5,"Robredo T.","Ogorodov O.",29,144,0
"French Open",Outdoor,Clay,6,5,"Safin M.","Rochus O.",2,60,0
"French Open",Outdoor,Clay,6,5,"Schalken S.","de Chaunac S.",33,173,0
"French Open",Outdoor,Clay,6,5,"Spadea V.","Voinea A.",88,59,0
"French Open",Outdoor,Clay,6,5,"Srichaphan P.","Enqvist T.",67,21,0
"French Open",Outdoor,Clay,6,5,"Vicente F.","Martin A.",61,58,0
"French Open",Outdoor,Clay,6,5,"Zabaleta M.","Kafelnikov Y.",52,5,0
"French Open",Outdoor,Clay,5,5,"Agassi A.","Robredo T.",4,29,0
"French Open",Outdoor,Clay,5,5,"Canas G.","Moya C.",17,19,0
"French Open",Outdoor,Clay,5,5,"Corretja A.","Clement A.",20,47,0
"French Open",Outdoor,Clay,5,5,"Costa A.","Gaudenzi A.",22,69,0
"French Open",Outdoor,Clay,5,5,"di Pasquale A.","Srichaphan P.",283,67,0
"French Open",Outdoor,Clay,5,5,"Ferrero J.C.","Coria G.",11,147,0
"French Open",Outdoor,Clay,5,5,"Gaudio G.","Arazi H.",34,45,0
"French Open",Outdoor,Clay,5,5,"Grosjean S.","Spadea V.",10,88,0
"French Open",Outdoor,Clay,5,5,"Haas T.","Nieminen J.",3,44,0
"French Open",Outdoor,Clay,5,5,"Hewitt L.","Schalken S.",1,33,0
"French Open",Outdoor,Clay,5,5,"Kuerten G.","Gonzalez F.",7,41,0
"French Open",Outdoor,Clay,5,5,"Malisse X.","Portas A.",38,76,0
"French Open",Outdoor,Clay,5,5,"Mathieu P.H.","Novak J.",107,15,0
"French Open",Outdoor,Clay,5,5,"Pavel A.","Montanes A.",28,54,0
"French Open",Outdoor,Clay,5,5,"Safin M.","Nalbandian D.",2,32,0
"French Open",Outdoor,Clay,5,5,"Zabaleta M.","Vicente F.",52,61,0
"French Open",Outdoor,Clay,4,5,"Agassi A.","Mathieu P.H.",4,107,0
"French Open",Outdoor,Clay,4,5,"Canas G.","Hewitt L.",17,1,0
"French Open",Outdoor,Clay,4,5,"Corretja A.","Zabaleta M.",20,52,0
"French Open",Outdoor,Clay,4,5,"Costa A.","Kuerten G.",22,7,0
"French Open",Outdoor,Clay,4,5,"Ferrero J.C.","Gaudio G.",11,34,0
"French Open",Outdoor,Clay,4,5,"Grosjean S.","Malisse X.",10,38,0
"French Open",Outdoor,Clay,4,5,"Pavel A.","Haas T.",28,3,0
"French Open",Outdoor,Clay,4,5,"Safin M.","di Pasquale A.",2,283,0
"French Open",Outdoor,Clay,3,5,"Corretja A.","Pavel A.",20,28,0
"French Open",Outdoor,Clay,3,5,"Costa A.","Canas G.",22,17,0
"French Open",Outdoor,Clay,3,5,"Ferrero J.C.","Agassi A.",11,4,0
"French Open",Outdoor,Clay,3,5,"Safin M.","Grosjean S.",2,10,0
"French Open",Outdoor,Clay,2,5,"Costa A.","Corretja A.",22,20,0
"French Open",Outdoor,Clay,2,5,"Ferrero J.C.","Safin M.",11,2,0
"French Open",Outdoor,Clay,1,5,"Costa A.","Ferrero J.C.",22,11,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Carlsen K.","Arazi H.",99,45,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Federer R.","Dreekmann H.",10,NR,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Johansson T.","Pretzsch A.",7,133,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Kafelnikov Y.","Bjorkman J.",6,56,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Kiefer N.","Burgsmuller L.",66,91,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Koubek S.","Moya C.",41,20,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Kratochvil M.","El Aynaoui Y.",46,19,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Ljubicic I.","Sanguinetti D.",37,49,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Pavel A.","Stepanek R.",21,150,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Popp A.","Sabau R.",118,603,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Prinosil D.","Norman D.",206,147,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Sampras P.","Stoliarov A.",13,107,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Saulnier C.","Heuberger I.",163,123,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Schuettler R.","Novak J.",23,14,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Ulihrach B.","Savolt A.",52,70,0
"Gerry Weber Open",Outdoor,Grass,7,3,"Youzhny M.","Santoro F.",67,32,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Carlsen K.","Kratochvil M.",99,46,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Federer R.","Prinosil D.",10,206,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Johansson T.","Ljubicic I.",7,37,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Kafelnikov Y.","Saulnier C.",6,163,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Kiefer N.","Sampras P.",66,13,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Popp A.","Koubek S.",118,41,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Ulihrach B.","Schuettler R.",52,23,0
"Gerry Weber Open",Outdoor,Grass,6,3,"Youzhny M.","Pavel A.",67,21,0
"Gerry Weber Open",Outdoor,Grass,3,3,"Carlsen K.","Johansson T.",99,7,0
"Gerry Weber Open",Outdoor,Grass,3,3,"Federer R.","Youzhny M.",10,67,0
"Gerry Weber Open",Outdoor,Grass,3,3,"Kafelnikov Y.","Ulihrach B.",6,52,0
"Gerry Weber Open",Outdoor,Grass,3,3,"Kiefer N.","Popp A.",66,118,0
"Gerry Weber Open",Outdoor,Grass,2,3,"Kafelnikov Y.","Carlsen K.",6,99,0
"Gerry Weber Open",Outdoor,Grass,2,3,"Kiefer N.","Federer R.",66,10,0
"Gerry Weber Open",Outdoor,Grass,1,3,"Kafelnikov Y.","Kiefer N.",6,66,0
"Queens Club",Outdoor,Grass,7,3,"Arthurs W.","Coutelot N.",126,89,0
"Queens Club",Outdoor,Grass,7,3,"Bryan M.","Pioline C.",463,93,0
"Queens Club",Outdoor,Grass,7,3,"Elseneer G.","Bogdanovic A.",172,514,0
"Queens Club",Outdoor,Grass,7,3,"Ferreira W.","Labadze I.",47,84,0
"Queens Club",Outdoor,Grass,7,3,"Fish M.","Sa A.",148,85,0
"Queens Club",Outdoor,Grass,7,3,"Gambill J.M.","Chang M.",51,95,0
"Queens Club",Outdoor,Grass,7,3,"Ginepri R.","Srichaphan P.",122,61,0
"Queens Club",Outdoor,Grass,7,3,"Godwin N.","Gasquet R.",111,281,0
"Queens Club",Outdoor,Grass,7,3,"Kucera K.","Bastl G.",74,146,0
"Queens Club",Outdoor,Grass,7,3,"Lee H.T.","Larsson M.",117,142,0
"Queens Club",Outdoor,Grass,7,3,"Levy H.","Rochus C.",185,77,0
"Queens Club",Outdoor,Grass,7,3,"Mamiit C.","Delgado J.",96,151,0
"Queens Club",Outdoor,Grass,7,3,"Martin T.","Delgado R.",44,88,0
"Queens Club",Outdoor,Grass,7,3,"Morrison J.","Ilie A.",98,176,0
"Queens Club",Outdoor,Grass,7,3,"Motomura G.","Nieminen J.",213,40,0
"Queens Club",Outdoor,Grass,7,3,"Philippoussis M.","Lee M.",110,94,0
"Queens Club",Outdoor,Grass,7,3,"Rochus O.","Okun N.",65,101,0
"Queens Club",Outdoor,Grass,7,3,"Rosset M.","Parmar A.",114,180,0
"Queens Club",Outdoor,Grass,7,3,"Russell M.","Bachelot J.F",177,170,0
"Queens Club",Outdoor,Grass,7,3,"Sargsian S.","Knowle J.",72,92,0
"Queens Club",Outdoor,Grass,7,3,"Sluiter R.","Dent T.",81,100,0
"Queens Club",Outdoor,Grass,7,3,"Spadea V.","Llodra M.",73,103,0
"Queens Club",Outdoor,Grass,7,3,"Vacek J.","Karlovic I.",79,189,0
"Queens Club",Outdoor,Grass,7,3,"Voinea A.","Carraz G.",58,174,0
"Queens Club",Outdoor,Grass,6,3,"Arthurs W.","Sargsian S.",126,72,0
"Queens Club",Outdoor,Grass,6,3,"Ferreira W.","Elseneer G.",47,172,0
"Queens Club",Outdoor,Grass,6,3,"Gambill J.M.","Bryan M.",51,463,0
"Queens Club",Outdoor,Grass,6,3,"Ginepri R.","Rosset M.",122,114,0
"Queens Club",Outdoor,Grass,6,3,"Henman T.","Godwin N.",5,111,0
"Queens Club",Outdoor,Grass,6,3,"Hewitt L.","Fish M.",1,148,0
"Queens Club",Outdoor,Grass,6,3,"Kucera K.","Voinea A.",74,58,0
"Queens Club",Outdoor,Grass,6,3,"Lee H.T.","Motomura G.",117,213,0
"Queens Club",Outdoor,Grass,6,3,"Malisse X.","Mamiit C.",35,96,0
"Queens Club",Outdoor,Grass,6,3,"Martin T.","Morrison J.",44,98,0
"Queens Club",Outdoor,Grass,6,3,"Philippoussis M.","Rusedski G.",110,38,0
"Queens Club",Outdoor,Grass,6,3,"Rochus O.","Levy H.",65,185,0
"Queens Club",Outdoor,Grass,6,3,"Russell M.","Enqvist T.",177,25,0
"Queens Club",Outdoor,Grass,6,3,"Schalken S.","Vacek J.",34,79,0
"Queens Club",Outdoor,Grass,6,3,"Sluiter R.","Mirnyi M.",81,28,0
"Queens Club",Outdoor,Grass,6,3,"Spadea V.","Blake J.",73,36,0
"Queens Club",Outdoor,Grass,5,3,"Arthurs W.","Russell M.",126,177,0
"Queens Club",Outdoor,Grass,5,3,"Ferreira W.","Philippoussis M.",47,110,0
"Queens Club",Outdoor,Grass,5,3,"Henman T.","Ginepri R.",5,122,0
"Queens Club",Outdoor,Grass,5,3,"Hewitt L.","Rochus O.",1,65,0
"Queens Club",Outdoor,Grass,5,3,"Lee H.T.","Spadea V.",117,73,0
"Queens Club",Outdoor,Grass,5,3,"Martin T.","Malisse X.",44,35,0
"Queens Club",Outdoor,Grass,5,3,"Schalken S.","Gambill J.M.",34,51,0
"Queens Club",Outdoor,Grass,5,3,"Sluiter R.","Kucera K.",81,74,0
"Queens Club",Outdoor,Grass,3,3,"Henman T.","Lee H.T.",5,117,0
"Queens Club",Outdoor,Grass,3,3,"Hewitt L.","Martin T.",1,44,0
"Queens Club",Outdoor,Grass,3,3,"Schalken S.","Arthurs W.",34,126,0
"Queens Club",Outdoor,Grass,3,3,"Sluiter R.","Ferreira W.",81,47,0
"Queens Club",Outdoor,Grass,2,3,"Henman T.","Sluiter R.",5,81,0
"Queens Club",Outdoor,Grass,2,3,"Hewitt L.","Schalken S.",1,34,0
"Queens Club",Outdoor,Grass,1,3,"Hewitt L.","Henman T.",1,5,0
"Nottingham Open",Outdoor,Grass,7,3,"Arthurs W.","Sargsian S.",113,74,0
"Nottingham Open",Outdoor,Grass,7,3,"Bjorkman J.","Roddick A.",60,14,0
"Nottingham Open",Outdoor,Grass,7,3,"Kiefer N.","Bryan M.",52,402,0
"Nottingham Open",Outdoor,Grass,7,3,"Koubek S.","Portas A.",40,69,0
"Nottingham Open",Outdoor,Grass,7,3,"Kratochvil M.","Delgado J.",46,154,0
"Nottingham Open",Outdoor,Grass,7,3,"Larsson M.","Moodie W.",146,372,0
"Nottingham Open",Outdoor,Grass,7,3,"Llodra M.","Dent T.",105,107,0
"Nottingham Open",Outdoor,Grass,7,3,"Massu N.","Mamiit C.",66,100,0
"Nottingham Open",Outdoor,Grass,7,3,"Parmar A.","Nieminen J.",176,41,0
"Nottingham Open",Outdoor,Grass,7,3,"Pless K.","Hipfl M.",80,84,0
"Nottingham Open",Outdoor,Grass,7,3,"Rusedski G.","Reid T.",38,414,0
"Nottingham Open",Outdoor,Grass,7,3,"Sanguinetti D.","Coetzee J.",48,608,0
"Nottingham Open",Outdoor,Grass,7,3,"Santoro F.","Simoni A.",37,122,0
"Nottingham Open",Outdoor,Grass,7,3,"Stoliarov A.","Labadze I.",110,85,0
"Nottingham Open",Outdoor,Grass,7,3,"Vacek J.","Levy H.",81,177,0
"Nottingham Open",Outdoor,Grass,7,3,"Voinea A.","Sa A.",64,88,0
"Nottingham Open",Outdoor,Grass,6,3,"Arthurs W.","Sanguinetti D.",113,48,0
"Nottingham Open",Outdoor,Grass,6,3,"Bjorkman J.","Vacek J.",60,81,0
"Nottingham Open",Outdoor,Grass,6,3,"Kratochvil M.","Pless K.",46,80,0
"Nottingham Open",Outdoor,Grass,6,3,"Larsson M.","Massu N.",146,66,0
"Nottingham Open",Outdoor,Grass,6,3,"Parmar A.","Kiefer N.",176,52,0
"Nottingham Open",Outdoor,Grass,6,3,"Rusedski G.","Voinea A.",38,64,0
"Nottingham Open",Outdoor,Grass,6,3,"Santoro F.","Llodra M.",37,105,0
"Nottingham Open",Outdoor,Grass,6,3,"Stoliarov A.","Koubek S.",110,40,0
"Nottingham Open",Outdoor,Grass,3,3,"Arthurs W.","Parmar A.",113,176,0
"Nottingham Open",Outdoor,Grass,3,3,"Bjorkman J.","Stoliarov A.",60,110,0
"Nottingham Open",Outdoor,Grass,3,3,"Kratochvil M.","Santoro F.",46,37,0
"Nottingham Open",Outdoor,Grass,3,3,"Rusedski G.","Larsson M.",38,146,0
"Nottingham Open",Outdoor,Grass,2,3,"Arthurs W.","Kratochvil M.",113,46,0
"Nottingham Open",Outdoor,Grass,2,3,"Bjorkman J.","Rusedski G.",60,38,0
"Nottingham Open",Outdoor,Grass,1,3,"Bjorkman J.","Arthurs W.",60,113,0
"Ordina Open",Outdoor,Grass,7,3,"Allegro Y.","Calatrava A.",362,129,0
"Ordina Open",Outdoor,Grass,7,3,"Canas G.","Knowle J.",17,92,0
"Ordina Open",Outdoor,Grass,7,3,"Carlsen K.","Garcia M.",83,NR,0
"Ordina Open",Outdoor,Grass,7,3,"Clement A.","Gross O.",42,124,0
"Ordina Open",Outdoor,Grass,7,3,"Dupuis A.","Boutter J.",91,49,0
"Ordina Open",Outdoor,Grass,7,3,"Escude N.","Saretta F.",33,72,0
"Ordina Open",Outdoor,Grass,7,3,"Federer R.","Krajicek R.",9,NR,0
"Ordina Open",Outdoor,Grass,7,3,"Heuberger I.","Muller G.",127,410,0
"Ordina Open",Outdoor,Grass,7,3,"Hewitt L.","Chang M.",1,97,0
"Ordina Open",Outdoor,Grass,7,3,"Kohlmann M.","Ivanov-Smolensky K.",118,636,0
"Ordina Open",Outdoor,Grass,7,3,"Pioline C.","Godwin N.",98,111,0
"Ordina Open",Outdoor,Grass,7,3,"Robredo T.","Lee M.",30,94,0
"Ordina Open",Outdoor,Grass,7,3,"Rochus C.","Cadart R.",86,378,0
"Ordina Open",Outdoor,Grass,7,3,"Russell M.","Sluiter R.",166,71,0
"Ordina Open",Outdoor,Grass,7,3,"Schalken S.","Golmard J.",31,65,0
"Ordina Open",Outdoor,Grass,7,3,"Youzhny M.","Calleri A.",61,55,0
"Ordina Open",Outdoor,Grass,6,3,"Allegro Y.","Dupuis A.",362,91,0
"Ordina Open",Outdoor,Grass,6,3,"Canas G.","Carlsen K.",17,83,0
"Ordina Open",Outdoor,Grass,6,3,"Clement A.","Russell M.",42,166,0
"Ordina Open",Outdoor,Grass,6,3,"Federer R.","Heuberger I.",9,127,0
"Ordina Open",Outdoor,Grass,6,3,"Hewitt L.","Youzhny M.",1,61,0
"Ordina Open",Outdoor,Grass,6,3,"Pioline C.","Escude N.",98,33,0
"Ordina Open",Outdoor,Grass,6,3,"Robredo T.","Kohlmann M.",30,118,0
"Ordina Open",Outdoor,Grass,6,3,"Schalken S.","Rochus C.",31,86,0
"Ordina Open",Outdoor,Grass,3,3,"Canas G.","Pioline C.",17,98,0
"Ordina Open",Outdoor,Grass,3,3,"Clement A.","Hewitt L.",42,1,0
"Ordina Open",Outdoor,Grass,3,3,"Robredo T.","Allegro Y.",30,362,0
"Ordina Open",Outdoor,Grass,3,3,"Schalken S.","Federer R.",31,9,0
"Ordina Open",Outdoor,Grass,2,3,"Clement A.","Canas G.",42,17,0
"Ordina Open",Outdoor,Grass,2,3,"Schalken S.","Robredo T.",31,30,0
"Ordina Open",Outdoor,Grass,1,3,"Schalken S.","Clement A.",31,42,0
"Wimbledon",Outdoor,Grass,7,5,"Agassi A.","Levy H.",4,326,0
"Wimbledon",Outdoor,Grass,7,5,"Ancic M.","Federer R.",154,9,0
"Wimbledon",Outdoor,Grass,7,5,"Arthurs W.","Russell M.",89,161,0
"Wimbledon",Outdoor,Grass,7,5,"Bastl G.","Golovanov D.",145,152,0
"Wimbledon",Outdoor,Grass,7,5,"Beck K.","Simoni A.",210,121,0
"Wimbledon",Outdoor,Grass,7,5,"Blake J.","Zabaleta M.",34,44,0
"Wimbledon",Outdoor,Grass,7,5,"Canas G.","Kohlmann M.",17,112,0
"Wimbledon",Outdoor,Grass,7,5,"Carraz G.","Mamiit C.",168,101,0
"Wimbledon",Outdoor,Grass,7,5,"Chang M.","Burgsmuller L.",99,113,0
"Wimbledon",Outdoor,Grass,7,5,"Clement A.","Montanes A.",38,57,0
"Wimbledon",Outdoor,Grass,7,5,"Cowan B.","Savolt A.",251,69,0
"Wimbledon",Outdoor,Grass,7,5,"Dent T.","Mirnyi M.",109,29,0
"Wimbledon",Outdoor,Grass,7,5,"Draper S.","Caratti C.",230,213,0
"Wimbledon",Outdoor,Grass,7,5,"Enqvist T.","Parmar A.",26,163,0
"Wimbledon",Outdoor,Grass,7,5,"Escude N.","Bogdanovic A.",33,491,0
"Wimbledon",Outdoor,Grass,7,5,"Ferreira W.","Portas A.",51,68,0
