location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,tourney_id,wpts,lpts
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,van Lottum J.,Woodruff C.,66,56,6,1,6,3,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,211,11,6,4,7,5,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Chang M.,Sell M.,50,167,4,6,6,4,7,6,0,0,0,0,2.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,45,48,6,7,6,2,6,4,0,0,0,0,2.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gaudio G.,Novak J.,72,38,6,4,6,7,7,6,0,0,0,0,2.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gustafsson M.,Johansson T.,60,43,6,2,6,3,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Norman M.,Gambill J.M.,14,57,6,3,6,3,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Rosset M.,van Lottum J.,46,66,6,3,6,2,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Schalken S.,Behrend T.,37,115,6,4,6,1,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Ferrero J.C.,211,45,4,6,6,3,6,1,0,0,0,0,2.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Chang M.,Gustafsson M.,50,60,7,5,3,6,1,0,0,0,0,0,1.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Gaudio G.,Schalken S.,72,37,6,1,6,2,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Norman M.,Rosset M.,14,46,6,2,6,2,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Chang M.,Balcells J.,50,211,6,3,3,6,6,2,0,0,0,0,2.0,1.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Norman M.,Gaudio G.,14,72,6,4,7,5,0,0,0,0,0,0,2.0,0.0,2000-004,,
Auckland,Heineken Open,2000-01-10,International,Outdoor,Hard,The Final,3,Norman M.,Chang M.,14,50,3,6,6,3,7,5,0,0,0,0,2.0,1.0,2000-004,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Arazi H.,Mantilla F.,42,25,6,3,6,4,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Clavet F.,Kuerten G.,39,5,6,4,3,6,6,4,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Clement A.,Zabaleta M.,55,32,4,6,6,3,6,4,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Corretja A.,Pioline C.,28,15,6,4,6,4,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Dosedel S.,Woodforde M.,69,128,6,3,6,3,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Hewitt L.,Grosjean S.,21,27,6,4,6,4,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Ullyett K.,23,193,6,1,7,5,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Ilie A.,Costa A.,47,18,3,6,7,6,6,4,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Koubek S.,Meligeni F.,40,29,7,6,6,1,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Kucera K.,Damm M.,17,88,7,6,6,1,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Lapentti N.,El Aynaoui Y.,7,31,3,6,6,3,6,3,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Safin M.,79,24,6,7,6,3,6,3,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Martin T.,Medvedev A.,8,33,6,1,6,7,6,3,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Diaz J.,94,84,6,1,6,7,6,4,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Vacek D.,Lisnard J.,41,127,6,4,7,6,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Voinea A.,Spadea V.,102,20,3,6,7,6,6,4,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Corretja A.,Arazi H.,28,42,3,6,6,3,7,6,0,0,0,0,2.0,1.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Ilie A.,69,47,6,3,7,5,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Clavet F.,21,39,6,3,6,2,0,0,0,0,0,0,2.0,0.0,2000-005,,
Sydney,Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Kucera K.,Clement A.,17,55,6,2,6,4,0,0,0,0,0,0,2.0,0.0,2000-005,,
