court,round,best_of,player0,player1,winner
Outdoor,7,5,263,61,player0
Outdoor,7,5,9,71,player0
Outdoor,7,5,67,94,player0
Outdoor,7,5,11,97,player0
Outdoor,7,5,37,75,player0
Outdoor,7,5,137,201,player0
Outdoor,7,5,19,189,player0
Outdoor,7,5,91,5,player0
Outdoor,7,5,82,118,player0
Outdoor,7,5,115,162,player0
Outdoor,7,5,120,20,player0
Outdoor,7,5,45,143,player0
Outdoor,7,5,3,105,player0
Outdoor,7,5,47,77,player0
Outdoor,7,5,60,73,player0
Outdoor,7,5,133,72,player0
Outdoor,7,5,166,88,player0
Outdoor,7,5,48,356,player0
Outdoor,7,5,102,18,player0
Outdoor,7,5,472,23,player0
Outdoor,7,5,89,52,player0
Outdoor,7,5,79,103,player0
Outdoor,7,5,182,122,player0
Outdoor,7,5,44,109,player0
Outdoor,7,5,153,114,player0
Outdoor,7,5,55,59,player0
Outdoor,7,5,99,63,player0
Outdoor,7,5,95,21,player0
Outdoor,7,5,204,93,player0
Outdoor,7,5,126,113,player0
Outdoor,7,5,56,92,player0
Outdoor,7,5,33,27,player0
Outdoor,6,5,1,47,player0
Outdoor,6,5,35,263,player0
Outdoor,6,5,41,123,player0
Outdoor,6,5,76,153,player0
Outdoor,6,5,151,45,player0
Outdoor,6,5,39,70,player0
Outdoor,6,5,54,7,player0
Outdoor,6,5,64,102,player0
Outdoor,6,5,29,12,player0
Outdoor,6,5,34,10,player0
Outdoor,6,5,62,104,player0
Outdoor,6,5,53,42,player0
Outdoor,6,5,40,89,player0
Outdoor,6,5,80,115,player0
Outdoor,6,5,26,238,player0
Outdoor,6,5,13,60,player0
Outdoor,6,5,17,30,player0
Outdoor,6,5,46,37,player0
Outdoor,6,5,2,44,player0
Outdoor,6,5,4,106,player0
Outdoor,6,5,43,472,player0
Outdoor,6,5,67,98,player0
Outdoor,6,5,11,82,player0
Outdoor,6,5,19,166,player0
Outdoor,6,5,120,182,player0
Outdoor,6,5,3,79,player0
Outdoor,6,5,48,126,player0
Outdoor,6,5,55,9,player0
Outdoor,6,5,99,137,player0
Outdoor,6,5,95,91,player0
Outdoor,6,5,56,133,player0
Outdoor,6,5,33,204,player0
Outdoor,5,5,1,33,player0
Outdoor,5,5,41,55,player0
Outdoor,5,5,54,62,player0
Outdoor,5,5,64,48,player0
Outdoor,5,5,29,40,player0
Outdoor,5,5,34,99,player0
Outdoor,5,5,53,39,player0
Outdoor,5,5,13,26,player0
Outdoor,5,5,17,95,player0
Outdoor,5,5,2,43,player0
Outdoor,5,5,4,35,player0
Outdoor,5,5,11,76,player0
Outdoor,5,5,19,46,player0
Outdoor,5,5,120,67,player0
Outdoor,5,5,3,151,player0
Outdoor,5,5,56,80,player0
Outdoor,4,5,1,19,player0
Outdoor,4,5,41,34,player0
Outdoor,4,5,29,54,player0
Outdoor,4,5,2,120,player0
Outdoor,4,5,4,53,player0
Outdoor,4,5,11,17,player0
Outdoor,4,5,3,64,player0
Outdoor,4,5,56,13,player0
Outdoor,3,5,1,41,player0
Outdoor,3,5,2,29,player0
Outdoor,3,5,11,4,player0
Outdoor,3,5,3,56,player0
Outdoor,2,5,1,3,player0
Outdoor,2,5,2,11,player0
Outdoor,1,5,1,2,player0
Outdoor,7,3,34,6,player0
Outdoor,7,3,27,57,player0
Outdoor,7,3,153,45,player0
Outdoor,7,3,78,49,player0
Outdoor,7,3,18,59,player0
Outdoor,7,3,21,50,player0
Outdoor,7,3,39,108,player0
Outdoor,7,3,33,37,player0
Outdoor,7,3,4,160,player0
Outdoor,7,3,40,72,player0
Outdoor,7,3,9,173,player0
Outdoor,7,3,25,70,player0
Outdoor,7,3,52,76,player0
Outdoor,7,3,43,141,player0
Outdoor,7,3,61,68,player0
Outdoor,7,3,47,140,player0
Outdoor,6,3,34,47,player0
Outdoor,6,3,18,40,player0
Outdoor,6,3,21,78,player0
Outdoor,6,3,39,9,player0
Outdoor,6,3,33,61,player0
Outdoor,6,3,4,52,player0
Outdoor,6,3,25,153,player0
Outdoor,6,3,43,27,player0
Outdoor,3,3,34,43,player0
Outdoor,3,3,18,21,player0
Outdoor,3,3,39,25,player0
Outdoor,3,3,4,33,player0
Outdoor,2,3,39,34,player0
Outdoor,2,3,4,18,player0
Outdoor,1,3,4,39,player0
Indoor,7,3,51,118,player0
Indoor,7,3,87,65,player0
Indoor,7,3,12,85,player0
Indoor,7,3,67,93,player0
Indoor,7,3,20,54,player0
Indoor,7,3,147,107,player0
Indoor,7,3,63,167,player0
Indoor,7,3,41,74,player0
Indoor,7,3,3,89,player0
Indoor,7,3,114,24,player0
Indoor,7,3,69,80,player0
Indoor,7,3,77,106,player0
Indoor,7,3,203,90,player0
Indoor,7,3,38,110,player0
Indoor,7,3,91,186,player0
Indoor,7,3,84,23,player0
Indoor,6,3,67,41,player0
Indoor,6,3,20,203,player0
Indoor,6,3,147,114,player0
Indoor,6,3,63,12,player0
Indoor,6,3,69,3,player0
Indoor,6,3,77,51,player0
Indoor,6,3,38,91,player0
Indoor,6,3,84,87,player0
Indoor,3,3,67,69,player0
Indoor,3,3,20,84,player0
Indoor,3,3,77,63,player0
Indoor,3,3,38,147,player0
Indoor,2,3,67,38,player0
Indoor,2,3,77,20,player0
Indoor,1,3,77,67,player0
Indoor,7,3,94,587,player0
Indoor,7,3,42,96,player0
Indoor,7,3,44,397,player0
Indoor,7,3,53,698,player0
Indoor,7,3,95,55,player0
